Artiste,Annee,Album,Url,Style,test
Motionless in White,2012,Infamous,https://www.azlyrics.com/lyrics/motionlessinwhite/devilsnight.html,Rock\Alternatif,I am an enemy of everything My life is not for sale My heart is in this fight forever What can you take from me When theres not a single fucking day I havent fought to stay alive  Were finding hope in the hopeless I am still their voice that gets stuck in your head I am me And Ive come to fucking scare you to death Because thats what you deserve you disgusting piece of shit  I know the only words that you have for me Are give up and get out Youd like to think that weve been beaten But were here to stay Forever and always  Every single day Not giving up living up all my dreams So go ahead and look like Im inferior Condescension Suffering Callousness and Loathing Are the badges I have earned for my cause And I am finding hope within hatred A reason to persist to push past everything We are here And we have come to scare you to death Because thats what you deserve You fucking fake ass hypocrites  I know the only words that you have for me Are give up and get out Youd like to think that weve been beaten But were here to stay Forever and always  So loud We are the ones that you pushed away Were drowning your voice out Youd like to think Weve been defeated but were here to stay Forever and always  Weve been through everything And we all have our scars We may be broken but you Cant kill all of us Go  Think before you fucking speak  I am no villain think before you fucking speak People fear what they dont understand And so now beauty has become the fucking beast  Maybe you didnt hear me  I said quotGo fuck yourselfquot  I know the only words that you have for me Are give up and get out Youd like to think That weve been beaten but were here to stay Forever and always  So loud We are the ones that you pushed away For drowning your voice out Youd like to think Weve been defeated but were here to stay Forever and always   
Post Malone,2016,August 26,https://www.azlyrics.com/lyrics/postmalone/moneymademedoit.html,rap,Diamonds in my chain gold Every 20 minutes change clothes I had a mil before the label Just as long as they know money made me do it I said rest in peace to Bankroll You in a better place dog You wont ever see me lay low Start the engine watch me take off money made me do it I said yeah I said money made me do it I said yeah I said money made me do it Watch me yeah I said money made me do it I said yeah I said money made me do it  Take a ride when we wake up Hit the gas melt your face off Spend the day counting cake up With a dime who think I changed up I took the Lincoln down Rodeo Ran through it like some Draino Lots of bags cant complain though We was shopping until they closed Why did I do that Did I do that Ooh yeah New whip now I can pay my rent ooh yeah  Diamonds in my chain gold Every 20 minutes change clothes I had a mil before the label Just as long as they know money made me do it I said rest in peace to Bankroll You in a better place dog You wont ever see me lay low Start the engine watch me take off money made me do it I said yeah I said money made me do it I said yeah I said money made me do it Watch me yeah I said money made me do it I said yeah I said money made me do it  i2 Chainzi Got a bandana round my neck Like Bankroll Fresh Pocket full of street money Bout to count my blessing One hundred one thousand 100K one million We smoke we lay up we rap We talked about a vision switch it up I got diamonds like a rainbow every time I change clothes Shawty fucked my friend but I act like I aint know Ima buy a rain coat the storm might approach you Clown like your daddy met your mom at a circus I do on purpose do it for the neighborhood Smoking on that Meagan Good with my niggas when I do it Got that leather and that wood got the marble on the floor Got the burglar bars on the door at the bando  Diamonds in my chain gold Every 20 minutes change clothes I had a mil before the label Just as long as they know money made me do it I said rest in peace to Bankroll You in a better place dog You wont ever see me lay low Start the engine watch me take off money made me do it I said yeah I said money made me do it I said yeah I said money made me do it Watch me yeah I said money made me do it I said yeah I said money made me do it   
Justin Bieber,2010,My World 2.0,https://www.azlyrics.com/lyrics/justinbieber/baby.html,pop,Ohhh ah Ohhh ah Ohhhh aaahhh  You know you love me I know you care Just shout whenever and Ill be there You are my love you are my heart And we will never ever ever be apart  Are we an item Girl quit playing Were just friends what are you saying Said theres another and looked right in my eyes My first love broke my heart for the first time And I was like  Baby baby baby oooh Like baby baby baby nooo Like baby baby baby oooh I thought youd always be mine mine  Baby baby baby oooh Like baby baby baby nooo Like baby baby baby oooh I thought youd always be mine mine  Oh for you I would have done whatever And I just cant believe we aint together And I wanna play it cool but Im losin you Ill buy you anything Ill buy you any ring And Im in pieces baby fix me And just shake me til you wake me from this bad dream Im going down down down down And I just cant believe my first love wont be around  And Im like Baby baby baby oooh Like baby baby baby nooo Like baby baby baby oooh I thought youd always be mine mine  Baby baby baby oooh Like baby baby baby nooo Like baby baby baby oooh I thought youd always be mine mine  iLudacrisi Luda When I was 13 I had my first love There was nobody that compared to my baby And nobody came between us or could ever come above She had me going crazy oh I was starstruck She woke me up daily dont need no Starbucks She made my heart pound and skip a beat when I see her in the street and At school on the playground but I really wanna see her on the weekend She knows she got me dazing cause she was so amazing And now my heart is breaking but I just keep on saying  Baby baby baby oooh Like baby baby baby nooo Like baby baby baby oooh I thought youd always be mine mine  Baby baby baby oooh Like baby baby baby nooo Like baby baby baby oooh I thought youd always be mine mine  Im gone Yeah Yeah Yeah Yeah Yeah Yeah Now Im all gone Yeah Yeah Yeah Yeah Yeah Yeah Now Im all gone Yeah Yeah Yeah Yeah Yeah Yeah Now Im all gone gone gone gone Im gone   
Post Malone,2016,Stoney,https://www.azlyrics.com/lyrics/postmalone/moneymademedoit.html,rap,Diamonds in my chain gold Every 20 minutes change clothes I had a mil before the label Just as long as they know money made me do it I said rest in peace to Bankroll You in a better place dog You wont ever see me lay low Start the engine watch me take off money made me do it I said yeah I said money made me do it I said yeah I said money made me do it Watch me yeah I said money made me do it I said yeah I said money made me do it  Take a ride when we wake up Hit the gas melt your face off Spend the day counting cake up With a dime who think I changed up I took the Lincoln down Rodeo Ran through it like some Draino Lots of bags cant complain though We was shopping until they closed Why did I do that Did I do that Ooh yeah New whip now I can pay my rent ooh yeah  Diamonds in my chain gold Every 20 minutes change clothes I had a mil before the label Just as long as they know money made me do it I said rest in peace to Bankroll You in a better place dog You wont ever see me lay low Start the engine watch me take off money made me do it I said yeah I said money made me do it I said yeah I said money made me do it Watch me yeah I said money made me do it I said yeah I said money made me do it  i2 Chainzi Got a bandana round my neck Like Bankroll Fresh Pocket full of street money Bout to count my blessing One hundred one thousand 100K one million We smoke we lay up we rap We talked about a vision switch it up I got diamonds like a rainbow every time I change clothes Shawty fucked my friend but I act like I aint know Ima buy a rain coat the storm might approach you Clown like your daddy met your mom at a circus I do on purpose do it for the neighborhood Smoking on that Meagan Good with my niggas when I do it Got that leather and that wood got the marble on the floor Got the burglar bars on the door at the bando  Diamonds in my chain gold Every 20 minutes change clothes I had a mil before the label Just as long as they know money made me do it I said rest in peace to Bankroll You in a better place dog You wont ever see me lay low Start the engine watch me take off money made me do it I said yeah I said money made me do it I said yeah I said money made me do it Watch me yeah I said money made me do it I said yeah I said money made me do it   
Eminem,2013,The Marshall Mathers LP 2,https://www.azlyrics.com/lyrics/eminem/legacy.html,rap,Tell me where to go tell me what to do Ill be right there for you Tell me what to say no matter if its true Ill say it all for you  iVerse 1i I used to be the type of kid that would always think the sky is falling Why am I so differently wired Am I a martian What kind of twisted experiment am I involved in Cause I dont belong in this world Thats why Im scoffing at authority defiant often Flying off at the handle at my mom no dad So I am noncompliant at home at school Im just shy and awkward And I dont need no goddamn psychologist Tryna diagnose why I have all these underlying problems Thinking he can try and solve them Im outside chalking up drawings on the sidewalk And in the front drive talking to myself Either that or inside hiding off in the corner somewhere quiet Trying not to be noticed cause Im crying and sobbing I had a bad day at school so I aint talking Some cocksucker shoved me into a fucking locker Cause he said that I eyeballed him  And if you fall Ill get you there Ill be your savior from all the wars that are fought Inside your world Please have faith in my words  Cause this is my legacy legacy eh This is my legacy legacy eh Theres no guarantee Its not up to me We can only see This is my legacy legacy Legacy legacy  iVerse 2i I used to be the type of kid that would always think the sky is falling Why am I so differently wired in my noggin Cause sporadic as my thoughts come its mind boggling Cause I obsess on everything in my mind small shit Bothers me but not my father he said Sayonara then split But I dont give a shit Im fine long as Theres batteries in my Walkman nothings the matter with me Shit look on the bright side at least I aint walking I bike ride through the neighborhood of my apartment Complex on a ten speed which Ive acquired parts that I Find in the garbage a frame then put tires on it Headphones on look straight ahead if kids try and start shit But if this is all there is for me life offers Why bother even try and put up a fight its nonsense But I think a light bulb just lit up in my conscience What about them rhymes Ive been jottin Theyre kinda giving me confidence Instead of tryna escape through my comics Why dont I just blast a little something like Onyx To put me in the mood to wanna fight and write songs that Say what I wanna say to the kid that said that I eyeballed him Grab hold of my balls like thats right fights on bitch Who wouldve knew from the moment I turned the mic on that I could be iconic and my conquest Is word to Phife Dawg from a tribe called Quest  This is my legacy legacy eh This is my legacy legacy eh Theres no guarantee Its not up to me We can only see This is my legacy legacy Legacy legacy  iVerse 3i I used to be the type of kid that would always think the sky is falling Now I think the fact that Im differently wireds awesome Cause if I wasnt I wouldnt be able to work Words like this and connect lines like crosswords And use my enemys words as strength To try and draw from and get inspired off em Cause all my life I was told and taught I am not shit By you wack fucking giant sacks of lying dog shit Now you shut up bitch I am talking Thought I was full of horseshit and now You fucking worship the ground in which I am walking Me against the world so what Im Brian Dawkins Versus the whole 0 and 16 Lions offense So bring on the Giants Falcons and Miami Dolphins Its the body bag game bitch Im supplying coffins Cause you dicks butt kiss a bunch of Brian Baldingers You gon die a ball licker Ive been diabolical With this dialogue since 99 Rawkus You dont respect the legacy I leave behind yall can Suck a dick the day you beat me pigsll fly out my ass In a flying saucer full of Italian sausage The most high exalting and I aint halting Till I die of exhaustion inhale my exhaust fumes The best part about me is I am not you Im me and Im the Fire Marshall and this is my  Legacy legacy eh This is my legacy legacy eh Theres no guarantee its not up to me we can only see This is my legacy legacy Legacy legacy   
Post Malone,2016,August 26,https://www.azlyrics.com/lyrics/postmalone/40funk.html,rap,40 got me funky I popped a molly Went kamikaze Another 40 Im Michael Jordan and bitch Im scoring Drank two 40s My bitch is foreign she got deported Thousand ounces police is knocking Aint got no worries Feeling funky I popped a molly went kamikaze Another 40 Im Kyrie Irving and bitch Im scoring Drank two 40s my bitch is foreign She got deported Thousand ounces this shit still popping Aint got no worries  40 got me funky 40 got me funky 40 got me funky 40 got me funky  I popped a molly switching lanes Im a pull up in this bitches Audi Lean in sprite and gin in tonic These bitches erotic She just wanna get inside my motherfucking pocket Another 40 I should stop it Two thousand ounces of this shit will make you feel like vomit But I dont mind it I kinda like it Young and wild We killing shit we live this shit I aint go to the school They asking how I live like this I did my shit 19 this year And Im only getting older til Im in the dirt How I hold a girl with two 40s all in my hand But pull up on me try me you can catch the fade my man You and your friends  40 got me funky I popped a molly Went kamikaze Another 40 Im Michael Jordan and bitch Im scoring Drank two 40s My bitch is foreign she got deported Thousand ounces police is knocking Aint got no worries Feeling funky I popped a molly went kamikaze Another 40 Im Kyrie Irving and bitch Im scoring Drank two 40s my bitch is foreign She got deported Thousand ounces this shit still popping Aint got no worries  40 got me funky 40 got me funky 40 got me funky 40 got me funky  Gimme the 40 So I can be cool yeah Pass me the molly eh I wanna them too no I cant get enough Man Im popping them shits and Im dropping them hits The music the liquor thats why I exist And the money lets skip the obvious shit Aint living too long if Im living like this Early morning waking up with the sweats Going through shit I aint never forget But nothing I do will I ever regret I need me that cheque I need me that chronic I dont remember tell me whats my name Drinking swerving in the other lane Fuck a Zulu drinking acid rains  40 got me funky I popped a molly Went kamikaze Another 40 Im Michael Jordan and bitch Im scoring Drank two 40s My bitch is foreign she got deported Thousand ounces police is knocking Aint got no worries Feeling funky I popped a molly went kamikaze Another 40 Im Kyrie Irving and bitch Im scoring Drank two 40s my bitch is foreign She got deported Thousand ounces this shit still popping Aint got no worries  40 got me funky 40 got me funky 40 got me funky 40 got me funky   
Eminem,2004,Encore,https://www.azlyrics.com/lyrics/eminem/justloseit.html,rap,iIntroi iEminem making soundsi Down down down down down down down down down down OK Guess whos back Back again Shadys back Tell a friend Whaaaaaaaa  Now everyone report to the dance floor To the dance floor to the dance floor Now everyone report to the dance floor Alright StopPajama time  iVerse 1i Come here little kiddies On my lap Guess whos back with a brand new rap And I dont mean rap as in a new case of child molestation accusation AHAHAHAHAH No worries papas got a brand new bag of toys What else could I possibly do to make noise I done touched on everything but little boys Thats not a stab at Michael Thats just a metaphor Im just psycho I go a little bit crazy sometimes I get a little bit out of control with my rhymes Good God dip do a little slide Bend down touch your toes and just glide Up the center of the dance floor Like TP for my bunghole And its cool if you let one go Nobodys gonna know whod hear it Give a little quotpoot pootquot its OK iFart Soundi Oops my CD just skipped And everyone just heard you let one rip  iChorusi Now Im gonna make you dance Its your chance Yeah boy shake that ass Oops I mean girl Girl girl girl Girl you know youre my world Alright now lose it AHAHAHAHAH Just lose it AHAHAHAHAH Go crazy AHAHAHAHAH Oh baby AHAH Oh baby baby AHAH  iVerse 2i Well its Friday and its my day Just to party all the way to Sunday Maybe til Monday I dunno what day Everydays just a holiday Crusin on the freeway Feelin kinda breezy Got the top down lettin my hair blow I dunno where Im goin All I know is when I get there Someones gonna touch my body  Excuse me miss I dont mean to sound like a jerk But Im feelin just a little stressed out from work Could you punch me in the stomach and pull my hair Spit on me maybe gouge my eyes out Yeah Now whats your name girl Whats your sign iDr Drei quotMan you must be up out your mindquot DRE AHAH Beer Goggles Blind Im just tryna unwind now Im  iChorusi Now Im gonna make you dance Its your chance Yeah boy shake that ass Oops I mean girl Girl girl girl Girl you know youre my world Alright now lose it AHAHAHAHAH Just lose it AHAHAHAHAH Go crazy AHAHAHAHAH Oh baby AHAH Oh baby baby AHAH  iVerse 3i Its Tuesday and Im locked up Im in jail and I dont know what happened They say I was running butt naked Down the street screaming AHAHAHAHAH Well Im sorry I dont remember All I know is this much Im not guilty They said quotSave it boy we gotcha you on tape yellin at an old lady to Touch my bodyquot  Now this is the part where the rap breaks down It gets real intense no one makes a sound Everything looks like its 8 Mile now The beat comes back and everybody lose themselves Snap back to reality Look its BRabbit Yo you signed me up to battle Im a grown man Chubba chubba chubba chubba chubba chubbie I dont have any lines to go right here so chubba teletubbie Fellas WHAT Fellas WHAT Grab you left nut make your right one jealous what Black girls White girls Skinny girls Fat girls Tall girls Small girls Im callin all girls  Everyone report to the dance floor Its your chance for a little romance or Butt squeezin its the season Just go AHAHAHAH Its so appeasin  iChorusi Now Im gonna make you dance Its your chance Yeah boy shake that ass Oops I mean girl Girl girl girl Girl you know youre my world Alright now lose it AHAHAHAHAH Just lose it AHAHAHAHAH Go crazy AHAHAHAHAH Oh baby AHAH Oh baby baby AHAH  iOutroi UmMmMmm touch my body UmMmMmm touch my body Ooh boy just touch my body I mean girl just touch my body   
Eminem,2000,The Marshall Mathers LP,https://www.azlyrics.com/lyrics/eminem/stevebermanskit259616.html,rap,idoor creaks openi ibackground music quotWhats The Differencequot by Dr Drei  iEminemi eyyy iStevei Hey Em whats up iEminemi Steve Berman Whats goin on man how you doin  Good to see you again Whats up iStevei Em could you come in here and have a seat please iEminemi Umm yeah whats iStevei Vanessa Shut the door iVanessai Okay idoor creaks shuti iEminemi So whats up Hows orders looking for the first week iStevei It would be better if you gave me nothing at all iEminemi Wh iStevei This album is less than nothing I cant sell this fucking record iEminemi Wha iStevei Do you know whats happening to me out there iEminemi Whwhawhats the problem iStevei Violent Ground told me to go fuck myself iEminemi Whos Violent iStevei Tower Records told me to shove this record up my ass  Do you know what it feels like  to be told to have a record shoved up your ass iEminemi But I iStevei Im gonna lose my fuckin job over this  You know why Dres record was so successful  Hes rappin about bigscreen TVs blunts 40s and bitches  Youre rappin about homosexuals and Vicadin iEminemi I mean iStevei I cant sell this shit iEminemi What iStevei Either change the record or its not coming out iEminemi What I iStevei Now get the fuck out of my office iEminemi What am I supposed iStevei NOW iEminemi Alright man   
Bring Me The Horizon,2006,Count Your Blessings,https://www.azlyrics.com/lyrics/bringmethehorizon/eyeless.html,metal,Yeah  Insane am I the only motherfucker with a brain Im hearing voices but all they do is complain How many times have you wanted to kill Everything and everyone say youll do it but never will  You cant see California without Marlon Brandos eyes Cant see California without Marlon Brandos eyes You cant see California without Marlon Brandos eyes  I am my fathers son cause hes a phantom A mystery and that leaves me nothing How many times have you wanted to die Its too late for me all you had to do was get rid of me  You cant see California without Marlon Brandos eyes Cant see California without Marlon Brandos eyes You cant see California without Marlon Brandos eyes  Its all in my head Its all in your head Its all in my head  I tried you lied to me for so long Everywhere I go theres a sense of it Freak on my antics and give me a choice Doesnt matter if I give a shit its shit that you gave me  You cant see California without Marlon Brandos eyes Cant see California without Marlon Brandos eyes  You cant see California without Marlon Brandos eyes  Its all in my head Its all in your head Its all in my head  Do you want to feel pain Taking my name in vain Killing never felt so lame inside Everybody else got pride Do you want to take my life Maybe Ill reverse my ride Who the fuck are you Fuck you Better suck it up cause youll bleed through Better get away from me Stay the fuck away from me  I feel safe seems your saved I feel safe seems your saved  Look me in my brand new eye Look me in my brand new eye Look me in my brand new eye Motherfucker Look me in my brand new eye Look me in my brand new eye Look me in my brand new eye Look me in my brand new   
Mac Miller,2009,The High Life,https://www.azlyrics.com/lyrics/macmiller/musicalchairs.html,rap,Ayo Yo what up Jerm Beats crazy Bout to get my drink on Go to one of them high school parties you know what Im sayin Chyeah  iVerse 1i Ayo if you got a cup put it up in the air And if you smokin on a blunt better puff it and share You dont know you wake up not rememberin last night That shorty with the ass like the bottom of a bagpipe Girl sucked my dick like she was swallowin a mag light Gotta get my cash right livin in this fast life Im fucked up the room is spinnin the ceiling is gone Im spittin game on a girl but Im feelin her mom Im sippin Crysie gettin pissy while killin in pong Im runnin tables while my peoples are twistin some bomb Listen its on Im the man of the night I shine bright can you handle the light They cant stand that Im white With a ego find me like Nemo Chillin with the homies and you know we let the trees blow Yall aint makin one point like a free throw Haha yeah and the beat go  iHooki Get down get up Get down get up Get down get up Get down get up And move around like it was musical chairs Get ya ass off your seat find yourself a new chair  Get down get up Get down get up Get down get up Get down get up And move around like it was musical chairs Get ya ass off your seat find yourself a new chair  iVerse 2i Party hard mufucker party hard Have a ball laugh a little harty har You hardly saw shit but now Im all up in your face With mixtape money boy no wallet is a waste With a rubberband dutch with a dozen grams Smokin til Im off my head Now everybody do the runnin man We takin it back its easy boy Im all three members of the Beastie Boys So fight for the right to party Everybody stand up like Steve Harvey I got surfers like quotDamn hes gnarlyquot And mothers givin me a free bowl of beef barley Ridin in the back back Back on the carseat Gettin out then park it in the car keys Youngin Im reckless with blunts with my breakfast And Im rockin more dunts and goin at kids Yes its Mac Mac Mac Mac  iHooki Get down get up Get down get up Get down get up Get down get up And move around like it was musical chairs Get ya ass off your seat find yourself a new chair  Get down get up Get down get up Get down get up Get down get up And move around like it was musical chairs Get ya ass off your seat find yourself a new chair  iVerse 3i And Ima get my diploma You need to notice Im a scholar Runnin through the streets ever since I was a toddler Playin cops and robbers Always was a robber In my neighborhood all day like Mr Rogers Now a little taller hip hop monster Eightlegged flow you can call me Peter Parker I know you see it boy Im weeded and spittin it real To match my style kid you best be equipped with some steel My swagger mean dress fresh and so clean In a flash getting change like a vending machine Then Im out pocket of piff hop in the whip Head to the first dip at the top of the list Roll in easy got you drinks for the free On lean and my eyes still chink from the tree Hoes out the playpen Eyes behind some Raybans Its mayhem livin in this teenage wasteland  iHooki Get down get up Get down get up Get down get up Get down get up And move around like it was musical chairs Get ya ass off your seat find yourself a new chair  Get down get up Get down get up Get down get up Get down get up And move around like it was musical chairs Get ya ass off your seat find yourself a new chair  Get down get up Get down get up Get down get up Get down get up And move around And move around  Get get get get  Get down get up Get down get up Get down get up Get down get up And move around like it was musical chairs Get ya ass off your seat find yourself a new chair   
Eminem,2017,Revival,https://www.azlyrics.com/lyrics/eminem/likehome.html,rap,iEminemi Yeah shout to everybody Whos been on this trip with me You dont have to agree But if you feel like me  Someone get this Aryan a sheet Time to bury him so tell him to prepare to get impeached Everybody on your feet This is where terrorism and heroism meet square off in the street This chump barely even sleeps All he does is watch Fox News like a parrot and repeats While he looks like a canary with a beak Why you think he banned transgenders from the military with a tweet Hes tryin to divide us This shits like a cult but like Johnny hell only unite us Cause nothin inside us drives us like this fight does Similar to when two cars collide cause Our spirits crushed and this spots a tight one But here the jaws of life come To pull us from the wreckage thats what we get pride from When we cant wear stars and stripes cause This type of pickle that were in is hard to deal But theres always tomorrow still If we start from scratch like a scab get the scars to heal And band together for Charlottesville And for Heather fallen heroes fill this wall with murals Nevada get up hit the damn resetter Lets start from zero this is our renewal Spray tan get rid of get a brand new better America and heres to where it all  iAlicia Keys amp Eminemi And heres to where we all began all began stand up Heres to the land that made me And made me who I am who I am hands up Heres to the land that raised me This one for the only place that really knows me From the cracks in the road that drove me Theres no place like home  iEminemi Didnt wanna piss your base off did ya Cant denounce the Klan cause they play golf with ya You stay on Twitter way to get your hate off Nazi I do not see a way yall differ And all you got are race cards bigot The swastika with your name carved in it Should be your trademark cause hates all you played off And you just lick the plate off So I guess it pays to feed off of chaos So basically you ate off Hitler But you aint ruinin our country punk Or takin our pride from us you wont define us Cause like a dictionary things are lookin up So much got a sprained neck know we would rise up Against this train wreck and take a stand Even if it means sittin when they raise the flag To sing quotThe StarSpangled Bannerquot This man just praised a statue of General Lee Cause he generally hates the black people degrades hispanics Take it back to the Shady national convention Wish I woulda spit on it before I went to shake his hand At the event or maybe had the wherewithal To know that he was gonna try to tear apart Our sacred land we cherish and stand for So hands in the air lets hear it for The start of a brand new America Without him and be proud of where were from And heres to where we all  iAlicia Keys amp Eminemi And heres to where we all began all began stand up Heres to the land that made me And made me who I am who I am hands up Heres to the land that raised me This one for the only place that really knows me From the cracks in the road that drove me Theres no place like home  I wont give up I wont give up on my home that so many died for You already know that I wont give up I wont give up on my home that so many died for You already know Theres no place like home no place like home Wherever I go no place like home No place like home no place like home Wherever I go yeah  And heres to where we all began all began stand up Heres to the land that made me And made me who I am who I am hands up Heres to the land that raised me This one for the only place that really knows me From the cracks in the road that drove me Theres no place like home   
DREAMERS,2019,LAUNCH FLY LAND,https://www.azlyrics.com/lyrics/dreamers/vampireinthesun.html,Rock/Alternatif,Oohlala look at me sinking Bright and shiny like a mood ring Feed me with your fear its soothing Dont come close cause then you might see me Underneath my fake believing I dont even want to be here  Vampire in the sun I know what youre dreaming of Some young blood possession all you ever wanted was A taste of something free you cant drink it all from me  Oohlala look at you slipping Like a lizard in the winter Feels so good to watch you shiver  Vampire in the sun I know what youre dreaming of Some young blood possession all you ever wanted was A taste of something free you cant drink it all  In the sun I know what  Vampire in the sun I know what youre dreaming of Some young blood possession all you ever wanted was A taste of something free you cant drink it all You cant drink it all you cant drink all from me   
Mac Miller,2014,Faces,https://www.azlyrics.com/lyrics/macmiller/colorsandshapes.html,rap,If it were colors and shapes we imagine every Instead of all of this weight that we have to carry Would you be able to breathe And if you could just find where that comfort resides No distraction or movement that fucks with your mind Would you let them see While beneath the ocean I met with the captain Who sank to the floor on his ship All of his passengers escaped to safety But he was not done with his trip He looked up and smiled asked me quothow do you doquot I told him Im losing my grip He told me quotson if you want to hold onto yourself Then let yourself slipquot  iHooki Fall Ooh Fall Oh Fall Oh it feels good to fall  These puzzles are so hard to make into pictures Of something thatll they understand They could open their eyes still be blind to the beauty But march on the heart of this land Oh oh why dont you turn around and go home They invade your minds and then fill them with nonsense These things that a man doesnt need Take out the love and the passion and hope And they fill it with nothing but greed While floating to galaxies they said I could And I noticed how sad one can get Cause the ignorant mind is so peaceful I find I cant understand nothing no more If I jump let me fall If I jump let me fall  iHooki   
